Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1826_High09_B_R7_1of3_Taes_1x1_l_c,1826,Nikon,1x,1,High09,B,R7,Mid,1of3,External,Taes,l,c
1828_High09_B_R7_2of3_Taes_1x1_d_c,1828,Nikon,1x,1,High09,B,R7,Mid,2of3,Internal,Taes,d,c
1829_High09_B_R7_2of3_Taes_1x1_l_c,1829,Nikon,1x,1,High09,B,R7,Mid,2of3,Internal,Taes,l,c
1831_High09_B_R12_1of2_Taes_1x1_d_c,1831,Nikon,1x,1,High09,B,R12,Top,1of2,External,Taes,d,c
1832_High09_B_R12_1of2_Taes_1x1_l_c,1832,Nikon,1x,1,High09,B,R12,Top,1of2,External,Taes,l,c
1834_High09_B_R12_2of2_Taes_1x1_d_c,1834,Nikon,1x,1,High09,B,R12,Top,2of2,External,Taes,d,c
1835_High09_B_R12_2of2_Taes_1x1_l_c,1835,Nikon,1x,1,High09,B,R12,Top,2of2,External,Taes,l,c
1837_High09_B_R13_1of1_Taes_1x1_d_c,1837,Nikon,1x,1,High09,B,R13,Top,1of1,Solo,Taes,d,c
1838_High09_B_R13_1of1_Taes_1x1_l_c,1838,Nikon,1x,1,High09,B,R13,Top,1of1,Solo,Taes,l,c
1840_High09_C_R1_1of2_Taes_1x1_d_c,1840,Nikon,1x,1,High09,C,R1,Base,1of2,External,Taes,d,c
1841_High09_C_R1_1of2_Taes_1x1_l_c,1841,Nikon,1x,1,High09,C,R1,Base,1of2,External,Taes,l,c
1843_High09_C_R1_2of2_Taes_1x1_d_c,1843,Nikon,1x,1,High09,C,R1,Base,2of2,External,Taes,d,c
1844_High09_C_R1_2of2_Taes_1x1_l_c,1844,Nikon,1x,1,High09,C,R1,Base,2of2,External,Taes,l,c
1846_High09_C_R2_1of2_Taes_1x1_d_c,1846,Nikon,1x,1,High09,C,R2,Base,1of2,External,Taes,d,c
1847_High09_C_R2_1of2_Taes_1x1_l_c,1847,Nikon,1x,1,High09,C,R2,Base,1of2,External,Taes,l,c
1849_High09_C_R8_1of3_Taes_1x1_d_c,1849,Nikon,1x,1,High09,C,R8,Mid,1of3,External,Taes,d,c
1850_High09_C_R8_1of3_Taes_1x1_l_c,1850,Nikon,1x,1,High09,C,R8,Mid,1of3,External,Taes,l,c
1852_High09_C_R8_2of3_Taes_1x1_d_c,1852,Nikon,1x,1,High09,C,R8,Mid,2of3,Internal,Taes,d,c
1853_High09_C_R8_2of3_Taes_1x1_l_c,1853,Nikon,1x,1,High09,C,R8,Mid,2of3,Internal,Taes,l,c
1855_High09_C_R8_3of3_Taes_1x1_d_c,1855,Nikon,1x,1,High09,C,R8,Mid,3of3,External,Taes,d,c
1856_High09_C_R8_3of3_Taes_1x1_l_c,1856,Nikon,1x,1,High09,C,R8,Mid,3of3,External,Taes,l,c
1858_High09_C_R14_2of2_Taes_1x1_d_c,1858,Nikon,1x,1,High09,C,R14,Top,2of2,External,Taes,d,c
